Year,Latitude,Longitude,Temperature Anomaly
1850,17.5,72.5,-0.51
1850,2.5,-52.5,2.90
1850,27.5,87.5,-0.24
1850,32.5,122.5,-0.71
1850,37.5,117.5,-1.62
1850,37.5,-122.5,-2.56
1850,37.5,12.5,-0.35
1850,37.5,-7.5,-0.76
1850,37.5,-77.5,0.49
1850,42.5,12.5,0.07
1850,-42.5,147.5,0.07
1850,42.5,2.5,1.59
1850,42.5,27.5,0.66
1850,42.5,32.5,2.49
1850,42.5,42.5,-1.99
1850,42.5,47.5,-2.63
1850,42.5,52.5,-1.58
1850,42.5,-67.5,-1.56
1850,42.5,-72.5,-1.14
1850,42.5,-7.5,5.78
1850,42.5,7.5,0.76
1850,42.5,-77.5,0.39
1850,42.5,-92.5,1.73
1850,47.5,-122.5,-0.53
1850,47.5,12.5,-0.14
1850,47.5,17.5,0.45
1850,47.5,22.5,2.32
1850,47.5,2.5,1.34
1850,47.5,27.5,2.70
1850,47.5,32.5,3.00
1850,47.5,42.5,0.83
1850,47.5,47.5,-0.11
1850,47.5,7.5,0.50
1850,52.5,117.5,-0.95
1850,52.5,12.5,-0.05
1850,52.5,17.5,0.13
1850,52.5,22.5,1.65
1850,52.5,2.5,1.07
1850,52.5,-2.5,0.93
1850,52.5,27.5,1.47
1850,52.5,37.5,0.32
1850,52.5,42.5,1.16
1850,52.5,52.5,2.86
1850,52.5,57.5,-1.59
1850,52.5,-7.5,0.04
1850,52.5,7.5,0.83
1850,52.5,82.5,-2.79
1850,57.5,12.5,-0.52
1850,57.5,-137.5,-2.97
1850,57.5,22.5,-0.02
1850,57.5,-2.5,1.39
1850,57.5,27.5,-0.78
1850,57.5,32.5,-1.21
1850,57.5,37.5,2.17
1850,57.5,42.5,-0.01
1850,57.5,47.5,-1.94
1850,57.5,57.5,-2.98
1850,57.5,62.5,-3.03
1850,57.5,67.5,-2.74
1850,57.5,82.5,-2.30
1850,62.5,12.5,-0.23
1850,62.5,127.5,0.28
1850,62.5,22.5,-2.31
1850,62.5,42.5,-2.04
1850,62.5,52.5,-3.65
1850,62.5,7.5,-0.59
1850,67.5,-22.5,-1.83
1850,72.5,32.5,-1.98
1850,7.5,-12.5,-0.99
1850,7.5,-57.5,-0.99
1851,17.5,72.5,-1.21
1851,22.5,-82.5,-0.90
1851,2.5,-52.5,2.40
1851,27.5,87.5,-0.84
1851,32.5,122.5,-1.81
1851,32.5,127.5,-2.89
1851,37.5,117.5,1.38
1851,37.5,-122.5,-1.66
1851,37.5,12.5,-0.35
1851,37.5,-7.5,-0.27
1851,37.5,-77.5,-0.41
1851,42.5,12.5,0.64
1851,-42.5,147.5,0.27
1851,42.5,2.5,1.14
1851,42.5,27.5,-1.74
1851,42.5,32.5,-0.01
1851,42.5,42.5,0.21
1851,42.5,47.5,0.07
1851,42.5,52.5,1.42
1851,42.5,-67.5,-2.46
1851,42.5,-72.5,-2.26
1851,42.5,7.5,0.19
1851,42.5,-77.5,-2.08
1851,42.5,-92.5,-0.57
1851,47.5,-122.5,0.37
1851,47.5,12.5,-0.19
1851,47.5,17.5,-1.15
1851,47.5,22.5,-0.66
1851,47.5,-2.5,1.54
1851,47.5,2.5,1.02
1851,47.5,27.5,0.60
1851,47.5,32.5,-0.40
1851,47.5,42.5,-0.67
1851,47.5,47.5,1.39
1851,47.5,7.5,0.73
1851,52.5,117.5,0.95
1851,52.5,12.5,-1.47
1851,52.5,17.5,-1.27
1851,52.5,22.5,-1.05
1851,52.5,2.5,1.11
1851,52.5,-2.5,0.24
1851,52.5,27.5,-1.13
1851,52.5,37.5,-2.58
1851,52.5,42.5,-2.24
1851,52.5,52.5,1.26
1851,52.5,57.5,-0.39
1851,52.5,-7.5,-0.40
1851,52.5,7.5,-0.12
1851,52.5,82.5,-1.89
1851,57.5,12.5,-2.52
1851,57.5,-137.5,-0.57
1851,57.5,22.5,-1.33
1851,57.5,-2.5,0.09
1851,57.5,27.5,-2.08
1851,57.5,32.5,-1.81
1851,57.5,37.5,-0.73
1851,57.5,42.5,-1.31
1851,57.5,47.5,0.21
1851,57.5,57.5,1.25
1851,57.5,62.5,0.17
1851,57.5,67.5,2.46
1851,57.5,82.5,0.50
1851,62.5,12.5,-1.33
1851,62.5,127.5,-0.52
1851,62.5,22.5,-2.11
1851,62.5,42.5,0.06
1851,62.5,52.5,1.35
1851,62.5,7.5,-2.59
1851,67.5,-22.5,-2.52
1851,72.5,32.5,0.32
1851,7.5,-12.5,-1.59
1851,7.5,-57.5,-1.69
1852,12.5,82.5,-0.12
1852,22.5,-82.5,-0.34
1852,2.5,-52.5,1.40
1852,27.5,-82.5,0.15
1852,27.5,87.5,-1.04
1852,32.5,-107.5,-0.39
1852,32.5,122.5,0.99
1852,32.5,127.5,-0.29
1852,37.5,117.5,0.28
1852,37.5,12.5,-0.15
1852,37.5,-2.5,-0.19
1852,37.5,-7.5,-1.82
1852,37.5,-77.5,-0.81
1852,42.5,12.5,0.06
1852,-42.5,147.5,-1.23
1852,42.5,2.5,-0.56
1852,42.5,27.5,0.36
1852,42.5,32.5,1.44
1852,42.5,42.5,-1.09
1852,42.5,47.5,-0.83
1852,42.5,52.5,-1.58
1852,42.5,-67.5,-2.66
1852,42.5,-72.5,-0.96
1852,42.5,-7.5,1.98
1852,42.5,7.5,-1.57
1852,42.5,-77.5,-0.86
1852,42.5,-82.5,2.82
1852,42.5,-87.5,-2.08
1852,42.5,-92.5,0.13
1852,47.5,-122.5,2.67
1852,47.5,12.5,0.10
1852,47.5,17.5,0.47
1852,47.5,22.5,1.44
1852,47.5,-2.5,-0.60
1852,47.5,2.5,-0.98
1852,47.5,27.5,-0.00
1852,47.5,32.5,0.10
1852,47.5,42.5,-0.07
1852,47.5,47.5,0.49
1852,47.5,7.5,-1.00
1852,52.5,117.5,0.25
1852,52.5,12.5,-0.16
1852,52.5,17.5,2.07
1852,52.5,22.5,1.75
1852,52.5,2.5,0.10
1852,52.5,-2.5,-0.89
1852,52.5,27.5,1.47
1852,52.5,37.5,0.92
1852,52.5,42.5,0.66
1852,52.5,52.5,0.81
1852,52.5,57.5,-2.99
1852,52.5,-7.5,-1.53
1852,52.5,7.5,-0.00
1852,52.5,82.5,-2.79
1852,57.5,12.5,-0.32
1852,57.5,-137.5,-1.27
1852,57.5,22.5,0.75
1852,57.5,-2.5,0.84
1852,57.5,27.5,-0.08
1852,57.5,32.5,0.88
1852,57.5,37.5,3.37
1852,57.5,42.5,-0.31
1852,57.5,47.5,-1.92
1852,57.5,57.5,-3.28
1852,57.5,62.5,-4.43
1852,57.5,82.5,-1.90
1852,62.5,12.5,3.97
1852,62.5,127.5,0.68
1852,62.5,22.5,-0.11
1852,62.5,42.5,-1.24
1852,62.5,52.5,-3.95
1852,62.5,7.5,2.81
1852,67.5,-22.5,0.48
1852,72.5,32.5,0.22
1852,7.5,-57.5,-1.39
1852,7.5,77.5,-0.15
1853,12.5,82.5,1.18
1853,22.5,112.5,0.16
1853,22.5,-82.5,-1.70
1853,27.5,-82.5,0.65
1853,27.5,87.5,0.16
1853,32.5,-107.5,1.71
1853,32.5,122.5,-0.11
1853,37.5,117.5,0.28
1853,37.5,-122.5,0.41
1853,37.5,12.5,-1.75
1853,37.5,-2.5,-1.07
1853,37.5,-7.5,-2.37
1853,37.5,-77.5,1.99
1853,42.5,12.5,-1.38
1853,-42.5,147.5,-1.93
1853,42.5,2.5,-2.54
1853,42.5,27.5,0.56
1853,42.5,32.5,1.29
1853,42.5,42.5,-0.99
1853,42.5,47.5,-1.43
1853,42.5,52.5,-2.28
1853,42.5,-67.5,-1.46
1853,42.5,-72.5,-0.39
1853,42.5,-7.5,1.98
1853,42.5,7.5,-1.97
1853,42.5,-77.5,1.61
1853,42.5,-87.5,-1.48
1853,42.5,-92.5,0.73
1853,47.5,-122.5,0.47
1853,47.5,12.5,-0.47
1853,47.5,17.5,-0.03
1853,47.5,22.5,1.48
1853,47.5,-2.5,-1.30
1853,47.5,2.5,-0.61
1853,47.5,27.5,0.20
1853,47.5,32.5,0.09
1853,47.5,42.5,-2.07
1853,47.5,47.5,-1.71
1853,47.5,7.5,-0.51
1853,52.5,117.5,-0.55
1853,52.5,12.5,0.02
1853,52.5,17.5,0.97
1853,52.5,22.5,1.65
1853,52.5,2.5,1.38
1853,52.5,-2.5,0.02
1853,52.5,27.5,1.77
1853,52.5,42.5,-2.64
1853,52.5,52.5,-4.54
1853,52.5,57.5,-2.79
